Invariant,Detect (%),N,Median lead (min),IQR (min),Event
shannon_entropy,92.6,25,-358.0,216.0,20230423
app_entropy,88.9,24,-207.0,148.8,20230423
corr_dim,85.2,23,-215.0,238.0,20230423
higuchi_fd,81.5,22,-308.5,178.5,20230423
lepel_ziv,81.5,22,-308.0,142.8,20230423
sampen,81.5,22,-219.0,120.0,20230423
spectral_entropy,77.8,21,-347.0,135.0,20230423
katz_fd,77.8,21,-261.0,259.0,20230423
higuchi_fd,92.9,26,-279.5,174.2,20240510
shannon_entropy,92.9,26,-259.0,175.0,20240510
app_entropy,92.9,26,-201.0,245.8,20240510
spectral_entropy,89.3,25,-383.0,158.0,20240510
sampen,89.3,25,-339.0,201.0,20240510
corr_dim,85.7,24,-231.5,200.0,20240510
lepel_ziv,82.1,23,-343.0,198.0,20240510
katz_fd,78.6,22,-321.0,238.5,20240510
